레벨,최대 체력,공격력,가격
1,0,0,0
2,30,10,100
3,60,20,200
4,90,30,300
5,120,40,400
6,150,50,500
7,180,60,600
8,210,70,700
9,240,80,800
10,270,90,1000
11,300,100,1200
12,330,110,1400
13,360,120,1600
14,390,130,1800
15,420,140,2000
16,450,150,2200
17,480,160,2400
18,510,170,2600
19,540,180,2800
20,570,190,3000
21,600,200,3300
22,630,210,3600
23,660,220,3900
24,690,230,4200
25,720,240,4500
26,750,250,4800
27,780,260,5100
28,810,270,5400
29,840,280,5700
30,870,290,6000
31,900,300,6300
32,930,310,6600
33,960,320,6900
34,990,330,7200
35,1020,340,7500
36,1050,350,7800
37,1080,360,8100
38,1110,370,8400
39,1140,380,8700
40,1170,390,9000
41,1200,400,9400
42,1230,410,9800
43,1260,420,10200
44,1290,430,10600
45,1320,440,11000
46,1350,450,11400
47,1380,460,11800
48,1410,470,12200
49,1440,480,12600
50,1470,490,13000
51,1500,500,13500
52,1530,510,14000
53,1560,520,14500
54,1590,530,15000
55,1620,540,15500
56,1650,550,16000
57,1680,560,16500
58,1710,570,17000
59,1740,580,17500
60,1770,590,18000
61,1800,600,18600
62,1830,610,19200
63,1860,620,19800
64,1890,630,20400
65,1920,640,21000
66,1950,650,21600
67,1980,660,22200
68,2010,670,22800
69,2040,680,23400
70,2070,690,24000
71,2100,700,24700
72,2130,710,25400
73,2160,720,26100
74,2190,730,26800
75,2220,740,27500
76,2250,750,28200
77,2280,760,28900
78,2310,770,29600
79,2340,780,30300
80,2370,790,31000
81,2400,800,31800
82,2430,810,32600
83,2460,820,33400
84,2490,830,34200
85,2520,840,35000
86,2550,850,35800
87,2580,860,36600
88,2610,870,37400
89,2640,880,38200
90,2670,890,39000
91,2700,900,39900
92,2730,910,40800
93,2760,920,41700
94,2790,930,42600
95,2820,940,43500
96,2850,950,44400
97,2880,960,45300
98,2910,970,46200
99,2940,980,47100
100,2970,990,48000
