레벨,최대 체력,공격력,가격
1,0,0,0
2,15,4,100
3,30,8,200
4,45,12,300
5,60,16,400
6,75,20,500
7,90,24,600
8,105,28,700
9,120,32,800
10,135,36,1000
11,150,40,1200
12,165,44,1400
13,180,48,1600
14,195,52,1800
15,210,56,2000
16,225,60,2200
17,240,64,2400
18,255,68,2600
19,270,72,2800
20,285,76,3000
21,300,80,3300
22,315,84,3600
23,330,88,3900
24,345,92,4200
25,360,96,4500
26,375,100,4800
27,390,104,5100
28,405,108,5400
29,420,112,5700
30,435,116,6000
31,450,120,6300
32,465,124,6600
33,480,128,6900
34,495,132,7200
35,510,136,7500
36,525,140,7800
37,540,144,8100
38,555,148,8400
39,570,152,8700
40,585,156,9000
41,600,160,9400
42,615,164,9800
43,630,168,10200
44,645,172,10600
45,660,176,11000
46,675,180,11400
47,690,184,11800
48,705,188,12200
49,720,192,12600
50,735,196,13000
51,750,200,13500
52,765,204,14000
53,780,208,14500
54,795,212,15000
55,810,216,15500
56,825,220,16000
57,840,224,16500
58,855,228,17000
59,870,232,17500
60,885,236,18000
61,900,240,18600
62,915,244,19200
63,930,248,19800
64,945,252,20400
65,960,256,21000
66,975,260,21600
67,990,264,22200
68,1005,268,22800
69,1020,272,23400
70,1035,276,24000
71,1050,280,24700
72,1065,284,25400
73,1080,288,26100
74,1095,292,26800
75,1110,296,27500
76,1125,300,28200
77,1140,304,28900
78,1155,308,29600
79,1170,312,30300
80,1185,316,31000
81,1200,320,31800
82,1215,324,32600
83,1230,328,33400
84,1245,332,34200
85,1260,336,35000
86,1275,340,35800
87,1290,344,36600
88,1305,348,37400
89,1320,352,38200
90,1335,356,39000
91,1350,360,39900
92,1365,364,40800
93,1380,368,41700
94,1395,372,42600
95,1410,376,43500
96,1425,380,44400
97,1440,384,45300
98,1455,388,46200
99,1470,392,47100
100,1485,396,48000
