레벨,최대 체력,공격력,가격
1,0,0,0
2,20,10,100
3,40,20,200
4,60,30,300
5,80,40,400
6,100,50,500
7,120,60,600
8,140,70,700
9,160,80,800
10,180,90,1000
11,200,100,1200
12,220,110,1400
13,240,120,1600
14,260,130,1800
15,280,140,2000
16,300,150,2200
17,320,160,2400
18,340,170,2600
19,360,180,2800
20,380,190,3000
21,400,200,3300
22,420,210,3600
23,440,220,3900
24,460,230,4200
25,480,240,4500
26,500,250,4800
27,520,260,5100
28,540,270,5400
29,560,280,5700
30,580,290,6000
31,600,300,6300
32,620,310,6600
33,640,320,6900
34,660,330,7200
35,680,340,7500
36,700,350,7800
37,720,360,8100
38,740,370,8400
39,760,380,8700
40,780,390,9000
41,800,400,9400
42,820,410,9800
43,840,420,10200
44,860,430,10600
45,880,440,11000
46,900,450,11400
47,920,460,11800
48,940,470,12200
49,960,480,12600
50,980,490,13000
51,1000,500,13500
52,1020,510,14000
53,1040,520,14500
54,1060,530,15000
55,1080,540,15500
56,1100,550,16000
57,1120,560,16500
58,1140,570,17000
59,1160,580,17500
60,1180,590,18000
61,1200,600,18600
62,1220,610,19200
63,1240,620,19800
64,1260,630,20400
65,1280,640,21000
66,1300,650,21600
67,1320,660,22200
68,1340,670,22800
69,1360,680,23400
70,1380,690,24000
71,1400,700,24700
72,1420,710,25400
73,1440,720,26100
74,1460,730,26800
75,1480,740,27500
76,1500,750,28200
77,1520,760,28900
78,1540,770,29600
79,1560,780,30300
80,1580,790,31000
81,1600,800,31800
82,1620,810,32600
83,1640,820,33400
84,1660,830,34200
85,1680,840,35000
86,1700,850,35800
87,1720,860,36600
88,1740,870,37400
89,1760,880,38200
90,1780,890,39000
91,1800,900,39900
92,1820,910,40800
93,1840,920,41700
94,1860,930,42600
95,1880,940,43500
96,1900,950,44400
97,1920,960,45300
98,1940,970,46200
99,1960,980,47100
100,1980,990,48000
