레벨,최대 체력,공격력,가격
1,0,0,0
2,15,6,100
3,30,12,200
4,45,18,300
5,60,24,400
6,75,30,500
7,90,36,600
8,105,42,700
9,120,48,800
10,135,54,1000
11,150,60,1200
12,165,66,1400
13,180,72,1600
14,195,78,1800
15,210,84,2000
16,225,90,2200
17,240,96,2400
18,255,102,2600
19,270,108,2800
20,285,114,3000
21,300,120,3300
22,315,126,3600
23,330,132,3900
24,345,138,4200
25,360,144,4500
26,375,150,4800
27,390,156,5100
28,405,162,5400
29,420,168,5700
30,435,174,6000
31,450,180,6300
32,465,186,6600
33,480,192,6900
34,495,198,7200
35,510,204,7500
36,525,210,7800
37,540,216,8100
38,555,222,8400
39,570,228,8700
40,585,234,9000
41,600,240,9400
42,615,246,9800
43,630,252,10200
44,645,258,10600
45,660,264,11000
46,675,270,11400
47,690,276,11800
48,705,282,12200
49,720,288,12600
50,735,294,13000
51,750,300,13500
52,765,306,14000
53,780,312,14500
54,795,318,15000
55,810,324,15500
56,825,330,16000
57,840,336,16500
58,855,342,17000
59,870,348,17500
60,885,354,18000
61,900,360,18600
62,915,366,19200
63,930,372,19800
64,945,378,20400
65,960,384,21000
66,975,390,21600
67,990,396,22200
68,1005,402,22800
69,1020,408,23400
70,1035,414,24000
71,1050,420,24700
72,1065,426,25400
73,1080,432,26100
74,1095,438,26800
75,1110,444,27500
76,1125,450,28200
77,1140,456,28900
78,1155,462,29600
79,1170,468,30300
80,1185,474,31000
81,1200,480,31800
82,1215,486,32600
83,1230,492,33400
84,1245,498,34200
85,1260,504,35000
86,1275,510,35800
87,1290,516,36600
88,1305,522,37400
89,1320,528,38200
90,1335,534,39000
91,1350,540,39900
92,1365,546,40800
93,1380,552,41700
94,1395,558,42600
95,1410,564,43500
96,1425,570,44400
97,1440,576,45300
98,1455,582,46200
99,1470,588,47100
100,1485,594,48000
