레벨,최대 체력,공격력,가격
1,0,0,0
2,7,12,100
3,14,24,200
4,21,36,300
5,28,48,400
6,35,60,500
7,42,72,600
8,49,84,700
9,56,96,800
10,63,108,1000
11,70,120,1200
12,77,132,1400
13,84,144,1600
14,91,156,1800
15,98,168,2000
16,105,180,2200
17,112,192,2400
18,119,204,2600
19,126,216,2800
20,133,228,3000
21,140,240,3300
22,147,252,3600
23,154,264,3900
24,161,276,4200
25,168,288,4500
26,175,300,4800
27,182,312,5100
28,189,324,5400
29,196,336,5700
30,203,348,6000
31,210,360,6300
32,217,372,6600
33,224,384,6900
34,231,396,7200
35,238,408,7500
36,245,420,7800
37,252,432,8100
38,259,444,8400
39,266,456,8700
40,273,468,9000
41,280,480,9400
42,287,492,9800
43,294,504,10200
44,301,516,10600
45,308,528,11000
46,315,540,11400
47,322,552,11800
48,329,564,12200
49,336,576,12600
50,343,588,13000
51,350,600,13500
52,357,612,14000
53,364,624,14500
54,371,636,15000
55,378,648,15500
56,385,660,16000
57,392,672,16500
58,399,684,17000
59,406,696,17500
60,413,708,18000
61,420,720,18600
62,427,732,19200
63,434,744,19800
64,441,756,20400
65,448,768,21000
66,455,780,21600
67,462,792,22200
68,469,804,22800
69,476,816,23400
70,483,828,24000
71,490,840,24700
72,497,852,25400
73,504,864,26100
74,511,876,26800
75,518,888,27500
76,525,900,28200
77,532,912,28900
78,539,924,29600
79,546,936,30300
80,553,948,31000
81,560,960,31800
82,567,972,32600
83,574,984,33400
84,581,996,34200
85,588,1008,35000
86,595,1020,35800
87,602,1032,36600
88,609,1044,37400
89,616,1056,38200
90,623,1068,39000
91,630,1080,39900
92,637,1092,40800
93,644,1104,41700
94,651,1116,42600
95,658,1128,43500
96,665,1140,44400
97,672,1152,45300
98,679,1164,46200
99,686,1176,47100
100,693,1188,48000
