레벨,최대 체력,공격력,가격
1,0,0,0
2,7,10,100
3,9,20,200
4,11,30,300
5,13,40,400
6,15,50,500
7,17,60,600
8,19,70,700
9,21,80,800
10,23,90,1000
11,25,100,1200
12,27,110,1400
13,29,120,1600
14,31,130,1800
15,33,140,2000
16,35,150,2200
17,37,160,2400
18,39,170,2600
19,41,180,2800
20,43,190,3000
21,45,200,3300
22,47,210,3600
23,49,220,3900
24,51,230,4200
25,53,240,4500
26,55,250,4800
27,57,260,5100
28,59,270,5400
29,61,280,5700
30,63,290,6000
31,65,300,6300
32,67,310,6600
33,69,320,6900
34,71,330,7200
35,73,340,7500
36,75,350,7800
37,77,360,8100
38,79,370,8400
39,81,380,8700
40,83,390,9000
41,85,400,9400
42,87,410,9800
43,89,420,10200
44,91,430,10600
45,93,440,11000
46,95,450,11400
47,97,460,11800
48,99,470,12200
49,101,480,12600
50,103,490,13000
51,105,500,13500
52,107,510,14000
53,109,520,14500
54,111,530,15000
55,113,540,15500
56,115,550,16000
57,117,560,16500
58,119,570,17000
59,121,580,17500
60,123,590,18000
61,125,600,18600
62,127,610,19200
63,129,620,19800
64,131,630,20400
65,133,640,21000
66,135,650,21600
67,137,660,22200
68,139,670,22800
69,141,680,23400
70,143,690,24000
71,145,700,24700
72,147,710,25400
73,149,720,26100
74,151,730,26800
75,153,740,27500
76,155,750,28200
77,157,760,28900
78,159,770,29600
79,161,780,30300
80,163,790,31000
81,165,800,31800
82,167,810,32600
83,169,820,33400
84,171,830,34200
85,173,840,35000
86,175,850,35800
87,177,860,36600
88,179,870,37400
89,181,880,38200
90,183,890,39000
91,185,900,39900
92,187,910,40800
93,189,920,41700
94,191,930,42600
95,193,940,43500
96,195,950,44400
97,197,960,45300
98,199,970,46200
99,201,980,47100
100,203,990,48000
