레벨,최대 체력,공격력,가격
1,0,0,0
2,50,3,100
3,100,6,200
4,150,9,300
5,200,12,400
6,250,15,500
7,300,18,600
8,350,21,700
9,400,24,800
10,450,27,1000
11,500,30,1200
12,550,33,1400
13,600,36,1600
14,650,39,1800
15,700,42,2000
16,750,45,2200
17,800,48,2400
18,850,51,2600
19,900,54,2800
20,950,57,3000
21,1000,60,3300
22,1050,63,3600
23,1100,66,3900
24,1150,69,4200
25,1200,72,4500
26,1250,75,4800
27,1300,78,5100
28,1350,81,5400
29,1400,84,5700
30,1450,87,6000
31,1500,90,6300
32,1550,93,6600
33,1600,96,6900
34,1650,99,7200
35,1700,102,7500
36,1750,105,7800
37,1800,108,8100
38,1850,111,8400
39,1900,114,8700
40,1950,117,9000
41,2000,120,9400
42,2050,123,9800
43,2100,126,10200
44,2150,129,10600
45,2200,132,11000
46,2250,135,11400
47,2300,138,11800
48,2350,141,12200
49,2400,144,12600
50,2450,147,13000
51,2500,150,13500
52,2550,153,14000
53,2600,156,14500
54,2650,159,15000
55,2700,162,15500
56,2750,165,16000
57,2800,168,16500
58,2850,171,17000
59,2900,174,17500
60,2950,177,18000
61,3000,180,18600
62,3050,183,19200
63,3100,186,19800
64,3150,189,20400
65,3200,192,21000
66,3250,195,21600
67,3300,198,22200
68,3350,201,22800
69,3400,204,23400
70,3450,207,24000
71,3500,210,24700
72,3550,213,25400
73,3600,216,26100
74,3650,219,26800
75,3700,222,27500
76,3750,225,28200
77,3800,228,28900
78,3850,231,29600
79,3900,234,30300
80,3950,237,31000
81,4000,240,31800
82,4050,243,32600
83,4100,246,33400
84,4150,249,34200
85,4200,252,35000
86,4250,255,35800
87,4300,258,36600
88,4350,261,37400
89,4400,264,38200
90,4450,267,39000
91,4500,270,39900
92,4550,273,40800
93,4600,276,41700
94,4650,279,42600
95,4700,282,43500
96,4750,285,44400
97,4800,288,45300
98,4850,291,46200
99,4900,294,47100
100,4950,297,48000
