레벨,최대 체력,공격력,가격
1,0,0,0
2,60,4,100
3,120,8,200
4,180,12,300
5,240,16,400
6,300,20,500
7,360,24,600
8,420,28,700
9,480,32,800
10,540,36,1000
11,600,40,1200
12,660,44,1400
13,720,48,1600
14,780,52,1800
15,840,56,2000
16,900,60,2200
17,960,64,2400
18,1020,68,2600
19,1080,72,2800
20,1140,76,3000
21,1200,80,3300
22,1260,84,3600
23,1320,88,3900
24,1380,92,4200
25,1440,96,4500
26,1500,100,4800
27,1560,104,5100
28,1620,108,5400
29,1680,112,5700
30,1740,116,6000
31,1800,120,6300
32,1860,124,6600
33,1920,128,6900
34,1980,132,7200
35,2040,136,7500
36,2100,140,7800
37,2160,144,8100
38,2220,148,8400
39,2280,152,8700
40,2340,156,9000
41,2400,160,9400
42,2460,164,9800
43,2520,168,10200
44,2580,172,10600
45,2640,176,11000
46,2700,180,11400
47,2760,184,11800
48,2820,188,12200
49,2880,192,12600
50,2940,196,13000
51,3000,200,13500
52,3060,204,14000
53,3120,208,14500
54,3180,212,15000
55,3240,216,15500
56,3300,220,16000
57,3360,224,16500
58,3420,228,17000
59,3480,232,17500
60,3540,236,18000
61,3600,240,18600
62,3660,244,19200
63,3720,248,19800
64,3780,252,20400
65,3840,256,21000
66,3900,260,21600
67,3960,264,22200
68,4020,268,22800
69,4080,272,23400
70,4140,276,24000
71,4200,280,24700
72,4260,284,25400
73,4320,288,26100
74,4380,292,26800
75,4440,296,27500
76,4500,300,28200
77,4560,304,28900
78,4620,308,29600
79,4680,312,30300
80,4740,316,31000
81,4800,320,31800
82,4860,324,32600
83,4920,328,33400
84,4980,332,34200
85,5040,336,35000
86,5100,340,35800
87,5160,344,36600
88,5220,348,37400
89,5280,352,38200
90,5340,356,39000
91,5400,360,39900
92,5460,364,40800
93,5520,368,41700
94,5580,372,42600
95,5640,376,43500
96,5700,380,44400
97,5760,384,45300
98,5820,388,46200
99,5880,392,47100
100,5940,396,48000
