레벨,최대 체력,공격력,가격
1,0,0,0
2,60,7,100
3,120,14,200
4,180,21,300
5,240,28,400
6,300,35,500
7,360,42,600
8,420,49,700
9,480,56,800
10,540,63,1000
11,600,70,1200
12,660,77,1400
13,720,84,1600
14,780,91,1800
15,840,98,2000
16,900,105,2200
17,960,112,2400
18,1020,119,2600
19,1080,126,2800
20,1140,133,3000
21,1200,140,3300
22,1260,147,3600
23,1320,154,3900
24,1380,161,4200
25,1440,168,4500
26,1500,175,4800
27,1560,182,5100
28,1620,189,5400
29,1680,196,5700
30,1740,203,6000
31,1800,210,6300
32,1860,217,6600
33,1920,224,6900
34,1980,231,7200
35,2040,238,7500
36,2100,245,7800
37,2160,252,8100
38,2220,259,8400
39,2280,266,8700
40,2340,273,9000
41,2400,280,9400
42,2460,287,9800
43,2520,294,10200
44,2580,301,10600
45,2640,308,11000
46,2700,315,11400
47,2760,322,11800
48,2820,329,12200
49,2880,336,12600
50,2940,343,13000
51,3000,350,13500
52,3060,357,14000
53,3120,364,14500
54,3180,371,15000
55,3240,378,15500
56,3300,385,16000
57,3360,392,16500
58,3420,399,17000
59,3480,406,17500
60,3540,413,18000
61,3600,420,18600
62,3660,427,19200
63,3720,434,19800
64,3780,441,20400
65,3840,448,21000
66,3900,455,21600
67,3960,462,22200
68,4020,469,22800
69,4080,476,23400
70,4140,483,24000
71,4200,490,24700
72,4260,497,25400
73,4320,504,26100
74,4380,511,26800
75,4440,518,27500
76,4500,525,28200
77,4560,532,28900
78,4620,539,29600
79,4680,546,30300
80,4740,553,31000
81,4800,560,31800
82,4860,567,32600
83,4920,574,33400
84,4980,581,34200
85,5040,588,35000
86,5100,595,35800
87,5160,602,36600
88,5220,609,37400
89,5280,616,38200
90,5340,623,39000
91,5400,630,39900
92,5460,637,40800
93,5520,644,41700
94,5580,651,42600
95,5640,658,43500
96,5700,665,44400
97,5760,672,45300
98,5820,679,46200
99,5880,686,47100
100,5940,693,48000
